# pt3
# underflow	  0.0000000    	  0.0000000    
# overflow	 0.39401284E+09	  1206383.4    
# sum	 0.12887419E+12	 0.38215148E+09
# xmin	xmax	cross	numerror
  0.0000000    	 0.25000000    	 0.78454404E+09	  37850171.    
 0.25000000    	 0.50000000    	 0.24719424E+10	  65562589.    
 0.50000000    	 0.75000000    	 0.37421106E+10	  94699875.    
 0.75000000    	  1.0000000    	 0.54956054E+10	 0.11248030E+09
  1.0000000    	  1.2500000    	 0.74105889E+10	 0.13569527E+09
  1.2500000    	  1.5000000    	 0.93439693E+10	 0.13735995E+09
  1.5000000    	  1.7500000    	 0.10123187E+11	 0.13097706E+09
  1.7500000    	  2.0000000    	 0.10274881E+11	 0.11816199E+09
  2.0000000    	  2.2500000    	 0.98490127E+10	 0.10658069E+09
  2.2500000    	  2.5000000    	 0.88523326E+10	  94962406.    
  2.5000000    	  2.7500000    	 0.80202254E+10	  84064883.    
  2.7500000    	  3.0000000    	 0.70866290E+10	  74947768.    
  3.0000000    	  3.2500000    	 0.61631352E+10	  62590669.    
  3.2500000    	  3.5000000    	 0.53016611E+10	  54806509.    
  3.5000000    	  3.7500000    	 0.45372736E+10	  46986521.    
  3.7500000    	  4.0000000    	 0.38672007E+10	  42292148.    
  4.0000000    	  4.2500000    	 0.33034031E+10	  35565994.    
  4.2500000    	  4.5000000    	 0.28544122E+10	  31965583.    
  4.5000000    	  4.7500000    	 0.23542711E+10	  28327650.    
  4.7500000    	  5.0000000    	 0.20963247E+10	  23789507.    
  5.0000000    	  5.2500000    	 0.18134575E+10	  22435082.    
  5.2500000    	  5.5000000    	 0.15318958E+10	  20559740.    
  5.5000000    	  5.7500000    	 0.13282783E+10	  17394694.    
  5.7500000    	  6.0000000    	 0.11731135E+10	  15528580.    
  6.0000000    	  6.2500000    	 0.10197584E+10	  14204902.    
  6.2500000    	  6.5000000    	 0.88084617E+09	  13288163.    
  6.5000000    	  6.7500000    	 0.76912339E+09	  11981695.    
  6.7500000    	  7.0000000    	 0.66360119E+09	  10625447.    
  7.0000000    	  7.2500000    	 0.59005251E+09	  9487227.1    
  7.2500000    	  7.5000000    	 0.53376717E+09	  8829029.1    
  7.5000000    	  7.7500000    	 0.45831750E+09	  8441581.3    
  7.7500000    	  8.0000000    	 0.39931264E+09	  7534685.6    
  8.0000000    	  8.2500000    	 0.35597590E+09	  6455099.5    
  8.2500000    	  8.5000000    	 0.31429830E+09	  5715703.9    
  8.5000000    	  8.7500000    	 0.29267745E+09	  5294631.8    
  8.7500000    	  9.0000000    	 0.25820198E+09	  4959691.9    
  9.0000000    	  9.2500000    	 0.21999443E+09	  4423205.2    
  9.2500000    	  9.5000000    	 0.20487498E+09	  3900630.2    
  9.5000000    	  9.7500000    	 0.18466970E+09	  3591484.7    
  9.7500000    	  10.000000    	 0.16271107E+09	  3482905.4    
  10.000000    	  10.250000    	 0.14994256E+09	  3227453.4    
  10.250000    	  10.500000    	 0.13229577E+09	  2889923.2    
  10.500000    	  10.750000    	 0.11814775E+09	  2754543.7    
  10.750000    	  11.000000    	 0.11093128E+09	  2440097.5    
  11.000000    	  11.250000    	 0.10294518E+09	  2208772.9    
  11.250000    	  11.500000    	  89786831.    	  2225165.5    
  11.500000    	  11.750000    	  81411724.    	  2056276.2    
  11.750000    	  12.000000    	  74511682.    	  1824465.0    
  12.000000    	  12.250000    	  65686112.    	  1769153.5    
  12.250000    	  12.500000    	  65297798.    	  1636353.3    
  12.500000    	  12.750000    	  57523025.    	  1415470.4    
  12.750000    	  13.000000    	  52577857.    	  1336025.4    
  13.000000    	  13.250000    	  46047383.    	  1255098.3    
  13.250000    	  13.500000    	  43711080.    	  1174154.3    
  13.500000    	  13.750000    	  41307295.    	  1094537.8    
  13.750000    	  14.000000    	  37254576.    	  1020480.9    
  14.000000    	  14.250000    	  34204667.    	  956896.18    
  14.250000    	  14.500000    	  33088021.    	  909115.32    
  14.500000    	  14.750000    	  28728361.    	  845598.42    
  14.750000    	  15.000000    	  27136800.    	  792023.20    
