# y3
# underflow	  0.0000000    	  0.0000000    
# overflow	  0.0000000    	  0.0000000    
# sum	 0.12888600E+12	 0.25335858E+09
# xmin	xmax	cross	numerror
  0.0000000    	 0.50000000    	  0.0000000    	  0.0000000    
 0.50000000    	  1.0000000    	  0.0000000    	  0.0000000    
  1.0000000    	  1.5000000    	  0.0000000    	  0.0000000    
  1.5000000    	  2.0000000    	  0.0000000    	  0.0000000    
  2.0000000    	  2.5000000    	  0.0000000    	  0.0000000    
  2.5000000    	  3.0000000    	  0.0000000    	  0.0000000    
  3.0000000    	  3.5000000    	  0.0000000    	  0.0000000    
  3.5000000    	  4.0000000    	  0.0000000    	  0.0000000    
  4.0000000    	  4.5000000    	 0.12888600E+12	 0.25335858E+09
  4.5000000    	  5.0000000    	  0.0000000    	  0.0000000    
  5.0000000    	  5.5000000    	  0.0000000    	  0.0000000    
  5.5000000    	  6.0000000    	  0.0000000    	  0.0000000    
  6.0000000    	  6.5000000    	  0.0000000    	  0.0000000    
  6.5000000    	  7.0000000    	  0.0000000    	  0.0000000    
  7.0000000    	  7.5000000    	  0.0000000    	  0.0000000    
  7.5000000    	  8.0000000    	  0.0000000    	  0.0000000    
  8.0000000    	  8.5000000    	  0.0000000    	  0.0000000    
  8.5000000    	  9.0000000    	  0.0000000    	  0.0000000    
