# pt3
# underflow	  0.0000000    	  0.0000000    
# overflow	  11904872.    	  174071.15    
# sum	 0.53820019E+11	 0.38744070E+09
# xmin	xmax	cross	numerror
  0.0000000    	 0.25000000    	 0.69329002E+09	  45138681.    
 0.25000000    	 0.50000000    	 0.15559062E+10	  94829408.    
 0.50000000    	 0.75000000    	 0.27427253E+10	 0.12403486E+09
 0.75000000    	  1.0000000    	 0.34593485E+10	 0.14412465E+09
  1.0000000    	  1.2500000    	 0.43495606E+10	 0.15309566E+09
  1.2500000    	  1.5000000    	 0.50353207E+10	 0.15660214E+09
  1.5000000    	  1.7500000    	 0.51779184E+10	 0.12934294E+09
  1.7500000    	  2.0000000    	 0.47739698E+10	 0.11003051E+09
  2.0000000    	  2.2500000    	 0.43110089E+10	  91217886.    
  2.2500000    	  2.5000000    	 0.37368353E+10	  76626027.    
  2.5000000    	  2.7500000    	 0.31890779E+10	  58498222.    
  2.7500000    	  3.0000000    	 0.26541143E+10	  51227951.    
  3.0000000    	  3.2500000    	 0.21777301E+10	  41706479.    
  3.2500000    	  3.5000000    	 0.17848599E+10	  34539012.    
  3.5000000    	  3.7500000    	 0.14086870E+10	  30083305.    
  3.7500000    	  4.0000000    	 0.11832849E+10	  25740746.    
  4.0000000    	  4.2500000    	 0.95877484E+09	  20337673.    
  4.2500000    	  4.5000000    	 0.78193273E+09	  17675310.    
  4.5000000    	  4.7500000    	 0.63265227E+09	  13944068.    
  4.7500000    	  5.0000000    	 0.52572735E+09	  11773221.    
  5.0000000    	  5.2500000    	 0.43305245E+09	  9304954.9    
  5.2500000    	  5.5000000    	 0.35290484E+09	  7582438.0    
  5.5000000    	  5.7500000    	 0.29477732E+09	  6849338.0    
  5.7500000    	  6.0000000    	 0.24853713E+09	  6033034.0    
  6.0000000    	  6.2500000    	 0.20973723E+09	  5145081.2    
  6.2500000    	  6.5000000    	 0.16499012E+09	  4246653.1    
  6.5000000    	  6.7500000    	 0.14115088E+09	  3492738.4    
  6.7500000    	  7.0000000    	 0.12297017E+09	  3035204.0    
  7.0000000    	  7.2500000    	 0.10412687E+09	  2802172.3    
  7.2500000    	  7.5000000    	  84856859.    	  2306019.6    
  7.5000000    	  7.7500000    	  73292422.    	  2167293.4    
  7.7500000    	  8.0000000    	  60084573.    	  2123237.7    
  8.0000000    	  8.2500000    	  54388604.    	  1825685.4    
  8.2500000    	  8.5000000    	  45552490.    	  1298034.7    
  8.5000000    	  8.7500000    	  38999970.    	  1174228.8    
  8.7500000    	  9.0000000    	  33893966.    	  1040242.2    
  9.0000000    	  9.2500000    	  29573236.    	  840505.52    
  9.2500000    	  9.5000000    	  24467602.    	  798148.93    
  9.5000000    	  9.7500000    	  20937756.    	  740353.41    
  9.7500000    	  10.000000    	  18613902.    	  616324.43    
  10.000000    	  10.250000    	  16539971.    	  549249.97    
  10.250000    	  10.500000    	  14219512.    	  547128.72    
  10.500000    	  10.750000    	  12366276.    	  471291.52    
  10.750000    	  11.000000    	  10414627.    	  413286.34    
  11.000000    	  11.250000    	  8630570.5    	  381496.69    
  11.250000    	  11.500000    	  7817605.0    	  319623.66    
  11.500000    	  11.750000    	  7416401.8    	  287096.18    
  11.750000    	  12.000000    	  6056621.9    	  276601.91    
  12.000000    	  12.250000    	  5141366.6    	  238083.79    
  12.250000    	  12.500000    	  5105848.3    	  227925.75    
  12.500000    	  12.750000    	  4166882.8    	  196339.94    
  12.750000    	  13.000000    	  3743144.4    	  200650.19    
  13.000000    	  13.250000    	  3171430.7    	  158831.64    
  13.250000    	  13.500000    	  2786648.8    	  142774.30    
  13.500000    	  13.750000    	  2662495.1    	  123935.24    
  13.750000    	  14.000000    	  2220852.3    	  112397.30    
  14.000000    	  14.250000    	  1853024.6    	  117036.79    
  14.250000    	  14.500000    	  1441461.3    	  95898.686    
  14.500000    	  14.750000    	  1422634.3    	  75610.172    
  14.750000    	  15.000000    	  1303143.4    	  76417.230    
