# pt3
# underflow	  0.0000000    	  0.0000000    
# overflow	  0.0000000    	  0.0000000    
# sum	 0.81837190E+10	 0.23236844E+09
# xmin	xmax	cross	numerror
  0.0000000    	 0.25000000    	 0.26749714E+09	  37549536.    
 0.25000000    	 0.50000000    	 0.39533553E+09	  88637208.    
 0.50000000    	 0.75000000    	 0.95312863E+09	  92910525.    
 0.75000000    	  1.0000000    	 0.97755818E+09	  92232627.    
  1.0000000    	  1.2500000    	 0.10998877E+10	  89741419.    
  1.2500000    	  1.5000000    	 0.93506548E+09	  96294410.    
  1.5000000    	  1.7500000    	 0.87080444E+09	  65355330.    
  1.7500000    	  2.0000000    	 0.67979951E+09	  52308271.    
  2.0000000    	  2.2500000    	 0.52533622E+09	  38205209.    
  2.2500000    	  2.5000000    	 0.42001615E+09	  28236065.    
  2.5000000    	  2.7500000    	 0.30413782E+09	  21772294.    
  2.7500000    	  3.0000000    	 0.23971486E+09	  17211112.    
  3.0000000    	  3.2500000    	 0.16615172E+09	  10785652.    
  3.2500000    	  3.5000000    	 0.10225598E+09	  7884513.4    
  3.5000000    	  3.7500000    	  80350663.    	  5050461.1    
  3.7500000    	  4.0000000    	  54944011.    	  3424933.5    
  4.0000000    	  4.2500000    	  37928676.    	  2578534.7    
  4.2500000    	  4.5000000    	  22889789.    	  1822874.8    
  4.5000000    	  4.7500000    	  18156902.    	  1240809.2    
  4.7500000    	  5.0000000    	  11760522.    	  834285.38    
  5.0000000    	  5.2500000    	  7300005.5    	  567214.17    
  5.2500000    	  5.5000000    	  4876331.6    	  405952.76    
  5.5000000    	  5.7500000    	  3281504.5    	  270489.54    
  5.7500000    	  6.0000000    	  2046004.4    	  188252.63    
  6.0000000    	  6.2500000    	  1495090.8    	  134596.64    
  6.2500000    	  6.5000000    	  941008.36    	  100366.00    
  6.5000000    	  6.7500000    	  433364.40    	  58669.323    
  6.7500000    	  7.0000000    	  325658.35    	  43639.329    
  7.0000000    	  7.2500000    	  191202.95    	  32137.659    
  7.2500000    	  7.5000000    	  49179.709    	  11790.962    
  7.5000000    	  7.7500000    	  47039.512    	  11034.767    
  7.7500000    	  8.0000000    	  7391.8021    	  3990.4276    
  8.0000000    	  8.2500000    	  6055.8131    	  2396.3698    
  8.2500000    	  8.5000000    	 -424.35496    	  911.04864    
  8.5000000    	  8.7500000    	  137.52702    	  434.96132    
  8.7500000    	  9.0000000    	 -303.69700    	  241.71896    
  9.0000000    	  9.2500000    	 -92.105943    	  157.04301    
  9.2500000    	  9.5000000    	 -17.392304    	  44.666245    
  9.5000000    	  9.7500000    	 -68.947216    	  25.900540    
  9.7500000    	  10.000000    	  5.0677050    	  8.8622382    
  10.000000    	  10.250000    	  3.2779234    	  2.1311191    
  10.250000    	  10.500000    	 0.40418149E-01	 0.38315273E-01
  10.500000    	  10.750000    	-0.67792119E-04	 0.95886403E-04
  10.750000    	  11.000000    	-0.27159877E-10	 0.27165518E-10
  11.000000    	  11.250000    	 0.14209261E-01	 0.14209261E-01
  11.250000    	  11.500000    	 0.45711677E-19	 0.45711677E-19
  11.500000    	  11.750000    	-0.18358444E-15	 0.18824483E-15
  11.750000    	  12.000000    	  0.0000000    	  0.0000000    
  12.000000    	  12.250000    	  0.0000000    	  0.0000000    
  12.250000    	  12.500000    	  0.0000000    	  0.0000000    
  12.500000    	  12.750000    	  0.0000000    	  0.0000000    
  12.750000    	  13.000000    	  0.0000000    	  0.0000000    
  13.000000    	  13.250000    	  0.0000000    	  0.0000000    
  13.250000    	  13.500000    	  0.0000000    	  0.0000000    
  13.500000    	  13.750000    	  0.0000000    	  0.0000000    
  13.750000    	  14.000000    	  0.0000000    	  0.0000000    
  14.000000    	  14.250000    	  0.0000000    	  0.0000000    
  14.250000    	  14.500000    	  0.0000000    	  0.0000000    
  14.500000    	  14.750000    	  0.0000000    	  0.0000000    
  14.750000    	  15.000000    	  0.0000000    	  0.0000000    
