# pt3
# underflow	  0.0000000    	  0.0000000    
# overflow	  0.0000000    	  0.0000000    
# sum	 0.23310748E+10	  56631208.    
# xmin	xmax	cross	numerror
  0.0000000    	 0.25000000    	  76339077.    	  10607570.    
 0.25000000    	 0.50000000    	 0.16997677E+09	  23312972.    
 0.50000000    	 0.75000000    	 0.28423218E+09	  23392058.    
 0.75000000    	  1.0000000    	 0.30415994E+09	  25932250.    
  1.0000000    	  1.2500000    	 0.32320709E+09	  24323569.    
  1.2500000    	  1.5000000    	 0.32257432E+09	  20182105.    
  1.5000000    	  1.7500000    	 0.25745974E+09	  13025087.    
  1.7500000    	  2.0000000    	 0.21188920E+09	  9548123.5    
  2.0000000    	  2.2500000    	 0.15681696E+09	  6395079.5    
  2.2500000    	  2.5000000    	  92688525.    	  4305582.6    
  2.5000000    	  2.7500000    	  57095147.    	  2636716.5    
  2.7500000    	  3.0000000    	  32879365.    	  1783194.4    
  3.0000000    	  3.2500000    	  21646565.    	  1159658.4    
  3.2500000    	  3.5000000    	  12250812.    	  686930.07    
  3.5000000    	  3.7500000    	  5477159.5    	  417269.55    
  3.7500000    	  4.0000000    	  3056922.1    	  252271.71    
  4.0000000    	  4.2500000    	 -212639.82    	  105788.18    
  4.2500000    	  4.5000000    	 -301373.79    	  44299.058    
  4.5000000    	  4.7500000    	 -95119.989    	  26796.607    
  4.7500000    	  5.0000000    	 -35223.266    	  10822.178    
  5.0000000    	  5.2500000    	 -20227.372    	  3424.4156    
  5.2500000    	  5.5000000    	 -7897.8768    	  1319.0418    
  5.5000000    	  5.7500000    	 -1990.8353    	  388.39114    
  5.7500000    	  6.0000000    	 -424.32481    	  111.79901    
  6.0000000    	  6.2500000    	 -27.699153    	  22.927865    
  6.2500000    	  6.5000000    	 0.51955801E-01	 0.72090077    
  6.5000000    	  6.7500000    	 0.23605146E-03	 0.20882245E-03
  6.7500000    	  7.0000000    	-0.19447336E-06	 0.13573459E-06
  7.0000000    	  7.2500000    	-0.56176643E-16	 0.39839484E-16
  7.2500000    	  7.5000000    	  0.0000000    	  0.0000000    
  7.5000000    	  7.7500000    	  0.0000000    	  0.0000000    
  7.7500000    	  8.0000000    	  0.0000000    	  0.0000000    
  8.0000000    	  8.2500000    	  0.0000000    	  0.0000000    
  8.2500000    	  8.5000000    	  0.0000000    	  0.0000000    
  8.5000000    	  8.7500000    	  0.0000000    	  0.0000000    
  8.7500000    	  9.0000000    	  0.0000000    	  0.0000000    
  9.0000000    	  9.2500000    	  0.0000000    	  0.0000000    
  9.2500000    	  9.5000000    	  0.0000000    	  0.0000000    
  9.5000000    	  9.7500000    	  0.0000000    	  0.0000000    
  9.7500000    	  10.000000    	  0.0000000    	  0.0000000    
  10.000000    	  10.250000    	  0.0000000    	  0.0000000    
  10.250000    	  10.500000    	  0.0000000    	  0.0000000    
  10.500000    	  10.750000    	  0.0000000    	  0.0000000    
  10.750000    	  11.000000    	  0.0000000    	  0.0000000    
  11.000000    	  11.250000    	  0.0000000    	  0.0000000    
  11.250000    	  11.500000    	  0.0000000    	  0.0000000    
  11.500000    	  11.750000    	  0.0000000    	  0.0000000    
  11.750000    	  12.000000    	  0.0000000    	  0.0000000    
  12.000000    	  12.250000    	  0.0000000    	  0.0000000    
  12.250000    	  12.500000    	  0.0000000    	  0.0000000    
  12.500000    	  12.750000    	  0.0000000    	  0.0000000    
  12.750000    	  13.000000    	  0.0000000    	  0.0000000    
  13.000000    	  13.250000    	  0.0000000    	  0.0000000    
  13.250000    	  13.500000    	  0.0000000    	  0.0000000    
  13.500000    	  13.750000    	  0.0000000    	  0.0000000    
  13.750000    	  14.000000    	  0.0000000    	  0.0000000    
  14.000000    	  14.250000    	  0.0000000    	  0.0000000    
  14.250000    	  14.500000    	  0.0000000    	  0.0000000    
  14.500000    	  14.750000    	  0.0000000    	  0.0000000    
  14.750000    	  15.000000    	  0.0000000    	  0.0000000    
